"Source Name","Program Name",Date/Time,"Data Source"
SOFTWARE,DXM_Runtime,"2019-12-07 15:05:23 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,MPlayer2,"2019-12-07 15:05:23 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,AddressBook,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Connection Manager","2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,DirectDrawEx,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,Fontcore,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IE40,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IE4Data,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IE5BAKEX,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IEData,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,MobileOptionPack,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,SchedulingAgent,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,WIC,"2019-12-07 09:17:28 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"McAfee Security Scan Plus v.4.1.515.1","2024-04-23 05:49:56 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Brave v.124.1.65.114","2024-04-22 17:31:41 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Edge v.124.0.2478.51","2024-04-22 14:58:53 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Edge Update v.1.3.185.29","2024-04-22 14:51:10 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33135 v.14.38.33135.0","2024-04-22 02:43:05 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"WebView2 Runtime de Microsoft Edge v.123.0.2420.97","2024-04-22 02:03:45 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Npcap v.1.75","2024-04-22 01:55:56 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Nmap 7.94 v.7.94","2024-04-22 01:54:45 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532 v.14.36.32532.0","2024-04-22 01:54:44 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532 v.14.36.32532","2024-04-22 01:54:44 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532 v.14.36.32532","2024-04-22 01:54:43 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,DXM_Runtime,"2019-12-07 15:05:23 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,MPlayer2,"2019-12-07 15:05:23 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,AddressBook,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,"Connection Manager","2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,DirectDrawEx,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,Fontcore,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IE40,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IE4Data,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IE5BAKEX,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,IEData,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,MobileOptionPack,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,SchedulingAgent,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
SOFTWARE,WIC,"2019-12-07 09:17:27 CST","001-003-LAptop-Pavana T3.E01"
